Club,Country,League,Player Names,Year,Above expectation,convertion rate of shots on target,convertion rate of total shots,Goals,Goals/xG,Matches Played,Mins,On Target,On Target Per Avg Match,onTarget/Shots per game,Shots,Shots Per Avg Match,Substitution,X G,xG Per Avg Match,xG<goals
(MNC),England,Premier League,Sergio Aguero,2018,met expectation,0.488372093,0.177966102,21,1.079691517,31,2566,43,1.59,0.36440678,118,4.37,2,19.45,0.72,Positive
(RMA),England,Premier League,Eden Hazard,2018,met expectation,0.372093023,0.172043011,16,1.478743068,32,3115,43,1.31,0.462365591,93,2.84,5,10.82,0.33,Positive
(ARS),England,Premier League,Pierre-Emerick Aubameyang,2018,met expectation,0.564102564,0.234042553,22,1.0133579,30,2905,39,1.28,0.414893617,94,3.07,6,21.71,0.71,Positive
(EVE),England,Premier League,Gylfi Sigurdsson,2018,met expectation,0.393939394,0.151162791,13,1.169064748,36,3302,33,0.95,0.38372093,86,2.47,2,11.12,0.32,Positive
(MNC),England,Premier League,Raheem Sterling,2018,met expectation,0.447368421,0.220779221,17,1.198026779,31,2930,38,1.23,0.493506494,77,2.5,3,14.19,0.46,Positive
(LEI),England,Premier League,Jamie Vardy,2018,met expectation,0.473684211,0.227848101,18,1.021566402,30,2886,38,1.25,0.481012658,79,2.6,4,17.62,0.58,Positive
(LEI),England,Premier League,Ayoze Perez,2018,met expectation,0.444444444,0.218181818,12,1.53256705,34,3099,27,0.83,0.490909091,55,1.69,3,7.83,0.24,Positive
(ARS),England,Premier League,Alexandre Lacazette,2018,met expectation,0.5,0.172839506,14,1.215277778,27,2670,28,1.0,0.345679012,81,2.88,8,11.52,0.41,Positive
(WOL),England,Premier League,Raul Jimenez,2018,Not met expectation,0.393939394,0.117117117,13,0.817096166,36,3285,33,0.95,0.297297297,111,3.21,2,15.91,0.46,Negative
(LYO),Brazil,Campeonato Brasileiro S̩rie A,Lucas Paqueta,2018,met expectation,0.25,0.105263158,10,1.10619469,31,2962,40,1.28,0.421052632,95,3.05,1,9.04,0.29,Positive
(BEN),Brazil,Campeonato Brasileiro S̩rie A,Everton,2018,Not met expectation,0.236842105,0.102272727,9,0.714853058,24,2175,38,1.66,0.431818182,88,3.84,3,12.59,0.55,Negative
(COR),Brazil,Campeonato Brasileiro S̩rie A,Juan Cazares,2018,met expectation,0.444444444,0.121212121,8,1.388888889,25,2487,18,0.69,0.272727273,66,2.52,6,5.76,0.22,Positive
(ALA),Brazil,Campeonato Brasileiro S̩rie A,Deyverson,2018,met expectation,0.473684211,0.219512195,9,1.179554391,11,1367,19,1.32,0.463414634,41,2.85,15,7.63,0.53,Positive
(SAP),Brazil,Campeonato Brasileiro S̩rie A,Pablo,2018,met expectation,0.413793103,0.1875,12,1.096892139,30,2808,29,0.98,0.453125,64,2.17,3,10.94,0.37,Positive
,Brazil,Campeonato Brasileiro S̩rie A,Leandro Damiao,2018,Not met expectation,0.37037037,0.149253731,10,0.753012048,19,3236,27,0.79,0.402985075,67,1.97,7,13.28,0.39,Negative
(VDG),Brazil,Campeonato Brasileiro S̩rie A,Yago Pikachu,2018,Not met expectation,0.27027027,0.12987013,10,0.901713255,34,3192,37,1.1,0.480519481,77,2.29,1,11.09,0.33,Negative
(RMA),Brazil,Campeonato Brasileiro S̩rie A,Rodrygo,2018,Not met expectation,0.347826087,0.153846154,8,0.987654321,30,2850,23,0.77,0.442307692,52,1.73,5,8.1,0.27,Negative
(SJE),Brazil,Campeonato Brasileiro S̩rie A,Andres Rios,2018,Not met expectation,0.388888889,0.162790698,7,0.949796472,23,2188,18,0.78,0.418604651,43,1.87,5,7.37,0.32,Negative
,Brazil,Campeonato Brasileiro S̩rie A,Roger Guedes,2018,met expectation,0.45,0.214285714,9,1.465798046,11,1081,20,1.76,0.476190476,42,3.69,1,6.14,0.54,Positive
,Brazil,Campeonato Brasileiro S̩rie A,Leandro Pereira,2018,met expectation,0.333333333,0.1375,11,1.09670987,26,2575,33,1.22,0.4125,80,2.95,8,10.03,0.37,Positive
(GRE),Brazil,Campeonato Brasileiro S̩rie A,Diego Souza,2018,Not met expectation,0.523809524,0.215686275,11,0.962379703,32,4177,21,0.48,0.411764706,51,1.16,0,11.43,0.26,Negative
(FLA),Brazil,Campeonato Brasileiro S̩rie A,Pedro,2018,Not met expectation,0.5,0.160714286,9,0.992282249,19,1689,18,1.01,0.321428571,56,3.15,0,9.07,0.51,Negative
(TIG),Brazil,Campeonato Brasileiro S̩rie A,Nico Lupez,2018,met expectation,0.333333333,0.139240506,11,1.265822785,26,3931,33,0.8,0.417721519,79,1.91,9,8.69,0.21,Positive
(FLU),Brazil,Campeonato Brasileiro S̩rie A,Nene,2018,met expectation,0.4,0.137931034,8,1.068090788,29,2636,20,0.72,0.344827586,58,2.09,6,7.49,0.27,Positive
(CFC),Brazil,Campeonato Brasileiro S̩rie A,Ricardo Oliveira,2018,Not met expectation,0.317073171,0.141304348,13,0.779844031,35,3231,41,1.21,0.445652174,92,2.71,0,16.67,0.49,Negative
(BAH),Brazil,Campeonato Brasileiro S̩rie A,Gilberto,2018,met expectation,0.470588235,0.153846154,8,1.142857143,18,1623,17,1.0,0.326923077,52,3.04,3,7.0,0.41,Positive
Bruno,Brazil,Campeonato Brasileiro S̩rie A,Henrique,2018,met expectation,0.6,0.195652174,9,2.059496568,27,2595,15,0.55,0.326086957,46,1.68,6,4.37,0.16,Positive
(PAL),Brazil,Campeonato Brasileiro S̩rie A,Willian,2018,Not met expectation,0.344827586,0.151515152,10,0.980392157,21,2153,29,1.28,0.439393939,66,2.91,11,10.2,0.45,Negative
(FLA),Brazil,Campeonato Brasileiro S̩rie A,Gabriel Barbosa,2018,Not met expectation,0.45,0.191489362,18,0.938967136,34,3140,40,1.21,0.425531915,94,2.84,1,19.17,0.58,Negative
(LAF),USA,MLS,Diego Rossi,2019,met expectation,0.34,0.150442478,17,1.408450704,35,3277,50,1.45,0.442477876,113,3.28,1,12.07,0.35,Positive
(ATA),USA,MLS,Josef Martinez,2019,met expectation,0.538461538,0.21875,28,1.118210863,32,3050,52,1.62,0.40625,128,3.99,0,25.04,0.78,Positive
(ACM),USA,MLS,Zlatan Ibrahimovic,2019,met expectation,0.462686567,0.194968553,31,1.36443662,31,2998,67,2.12,0.421383648,159,5.04,0,22.72,0.72,Positive
(SJE),USA,MLS,Chris Wondolowski,2019,met expectation,0.454545455,0.189873418,15,1.026694045,24,2169,33,1.45,0.417721519,79,3.46,8,14.61,0.64,Positive
(ORL),USA,MLS,Nani,2019,met expectation,0.48,0.1875,12,1.360544218,26,2464,25,0.96,0.390625,64,2.47,4,8.82,0.34,Positive
(PHI),USA,MLS,Kacper Przybylko,2019,met expectation,0.405405405,0.185185185,15,1.226492232,25,2420,37,1.45,0.456790123,81,3.18,1,12.23,0.48,Positive
(MIN),USA,MLS,Kei Kamara,2019,Not met expectation,0.318181818,0.14893617,14,0.795906765,29,2740,44,1.53,0.468085106,94,3.26,0,17.59,0.61,Negative
(CHF),USA,MLS,C.J. Sapong,2019,met expectation,0.52,0.206349206,13,1.158645276,29,2734,25,0.87,0.396825397,63,2.19,3,11.22,0.39,Positive
(CCR),USA,MLS,Gyasi Zardes,2019,Not met expectation,0.5,0.209677419,13,0.860927152,28,2657,26,0.93,0.419354839,62,2.22,0,15.1,0.54,Negative
(NYC),USA,MLS,Heber,2019,met expectation,0.576923077,0.267857143,15,1.319261214,18,1742,26,1.42,0.464285714,56,3.05,5,11.37,0.62,Positive
(HDY),USA,MLS,Mauro Manotas,2019,Not met expectation,0.448275862,0.141304348,13,0.927908637,28,2717,29,1.01,0.315217391,92,3.22,4,14.01,0.49,Negative
(COL),USA,MLS,Brian Fernandez,2019,met expectation,0.366666667,0.15942029,11,1.344743276,16,1555,30,1.83,0.434782609,69,4.22,3,8.18,0.5,Positive
(TOR),USA,MLS,Alejandro Pozuelo,2019,met expectation,0.368421053,0.166666667,14,1.428571429,32,3104,38,1.16,0.452380952,84,2.57,2,9.8,0.3,Positive
(SKC),USA,MLS,Felipe Gutierrez,2019,met expectation,0.428571429,0.184615385,12,1.265822785,31,2905,28,0.92,0.430769231,65,2.13,1,9.48,0.31,Positive
(SOU),USA,MLS,Jordan Morris,2019,met expectation,0.541666667,0.270833333,13,1.361256545,28,2521,24,0.9,0.5,48,1.81,2,9.55,0.36,Positive
(SOU),USA,MLS,Raul Ruidiaz,2019,Not met expectation,0.405405405,0.15625,15,0.979751796,24,2346,37,1.5,0.385416667,96,3.89,2,15.31,0.62,Negative
(TOR),USA,MLS,Jozy Altidore,2019,met expectation,0.48,0.235294118,12,1.380897583,18,1834,25,1.29,0.490196078,51,2.64,5,8.69,0.45,Positive
(LAF),USA,MLS,Carlos Vela,2019,met expectation,0.48,0.215568862,36,1.420118343,33,3128,75,2.28,0.449101796,167,5.07,0,25.35,0.77,Positive
(VID),USA,MLS,Nemanja Nikolic,2019,Not met expectation,0.545454545,0.25,12,0.854092527,25,2118,22,0.99,0.458333333,48,2.15,6,14.05,0.63,Negative
(NYC FC),USA,MLS,Alexandru Mitrita,2019,met expectation,0.352941176,0.125,12,1.697312588,25,2398,34,1.35,0.354166667,96,3.8,5,7.07,0.28,Positive
(ATL),Spain,La Liga,Luis Suarez,2019,met expectation,0.380952381,0.202531646,16,1.117318436,22,2126,42,1.88,0.53164557,79,3.53,6,14.32,0.64,Positive
(RMA),Spain,La Liga,Karim Benzema,2019,Not met expectation,0.355932203,0.169354839,21,0.971772328,36,3207,59,1.75,0.475806452,124,3.67,1,21.61,0.64,Negative
(ALA),Spain,La Liga,Joselu,2019,Not met expectation,0.366666667,0.126436782,11,0.832072617,31,2990,30,0.95,0.344827586,87,2.76,5,13.22,0.42,Negative
(SEV),Spain,La Liga,Carlos Fernandez,2019,Not met expectation,0.526315789,0.212765957,10,0.954198473,21,2428,19,0.74,0.404255319,47,1.84,13,10.48,0.41,Negative
(OSA),Spain,La Liga,Ante Budimir,2019,met expectation,0.590909091,0.232142857,13,1.05605199,33,2923,22,0.72,0.392857143,56,1.82,2,12.31,0.4,Positive
(SOC),Spain,La Liga,Mikel Oyarzabal,2019,met expectation,0.454545455,0.161290323,10,1.124859393,36,3247,22,0.64,0.35483871,62,1.81,1,8.89,0.26,Positive
(SOC),Spain,La Liga,Willian Jose,2019,Not met expectation,0.578947368,0.186440678,11,0.844205679,24,2171,19,0.83,0.322033898,59,2.58,13,13.03,0.57,Negative
(VIL),Spain,La Liga,Gerard Moreno,2019,met expectation,0.529411765,0.202247191,18,1.118707272,33,2831,34,1.14,0.382022472,89,2.99,2,16.09,0.54,Positive
(ALA),Spain,La Liga,Lucas Perez,2019,Not met expectation,0.611111111,0.229166667,11,0.977777778,29,2673,18,0.64,0.375,48,1.71,5,11.25,0.4,Negative
(BET),Spain,La Liga,Loren Moron,2019,met expectation,0.555555556,0.192307692,10,1.096491228,21,2222,18,0.77,0.346153846,52,2.22,15,9.12,0.39,Positive
(BIL),Spain,La Liga,Raul Garcla,2019,met expectation,0.454545455,0.185185185,15,1.174628034,33,3034,33,1.03,0.407407407,81,2.54,2,12.77,0.4,Positive
