Club,Country,League,Player Names,Year,Above expectation,convertion rate of shots on target,convertion rate of total shots,Goals,Goals/xG,Matches Played,Mins,On Target,On Target Per Avg Match,onTarget/Shots per game,Shots,Shots Per Avg Match,Substitution,X G,xG Per Avg Match,xG<goals
(CAG),Italy,Serie A,Giovanni Simeone,2019,met expectation,0.4,0.137931034,12,1.016949153,34,3115,30,0.91,0.344827586,87,2.65,3,11.8,0.36,Positive
(LAZ),Italy,Serie A,Ciro Immobile,2019,met expectation,0.507042254,0.253521127,36,1.352874859,36,3371,71,2.0,0.5,142,4.0,1,26.61,0.75,Positive
(LEC),Italy,Serie A,Marco Mancosu,2019,Not met expectation,0.451612903,0.166666667,14,0.920447074,28,2627,31,1.12,0.369047619,84,3.04,5,15.21,0.55,Negative
(ATA),Italy,Serie A,Duvan Zapata,2019,met expectation,0.486486486,0.202247191,18,1.191264064,25,2143,37,1.64,0.415730337,89,3.95,3,15.11,0.67,Positive
(INT),Italy,Serie A,Lautaro Martrinez,2019,Not met expectation,0.318181818,0.112,14,0.972222222,29,2581,44,1.62,0.352,125,4.6,6,14.4,0.53,Negative
(ATA),Italy,Serie A,Luis Muriel,2019,met expectation,0.43902439,0.233766234,18,1.451612903,10,1370,41,2.84,0.532467532,77,5.34,23,12.4,0.86,Positive
(SAM),Italy,Serie A,Fabio Quagliarella,2019,Not met expectation,0.314285714,0.107843137,11,0.801749271,26,2413,35,1.38,0.343137255,102,4.02,2,13.72,0.54,Negative
(BEN),Italy,Serie A,Gianluca Lapadula,2019,met expectation,0.458333333,0.180327869,11,1.166489926,20,1906,24,1.2,0.393442623,61,3.04,5,9.43,0.47,Positive
(ACM),Italy,Serie A,Ante Rebic,2019,met expectation,0.55,0.261904762,11,1.605839416,15,1514,20,1.25,0.476190476,42,2.64,11,6.85,0.43,Positive
(TOR),Italy,Serie A,Andrea Belotti,2019,Not met expectation,0.390243902,0.153846154,16,0.965018094,34,3214,41,1.21,0.394230769,104,3.07,2,16.58,0.49,Negative
(DOR),Germany,Bundesliga,Jadon Sancho,2019,met expectation,0.607142857,0.326923077,17,1.734693878,25,2387,28,1.11,0.538461538,52,2.07,7,9.8,0.39,Positive
(CHE),Germany,Bundesliga,Timo Werner,2019,met expectation,0.444444444,0.227642276,28,1.346153846,33,2744,63,2.18,0.512195122,123,4.26,1,20.8,0.72,Positive
(WOB),Germany,Bundesliga,Wout Weghorst,2019,Not met expectation,0.421052632,0.188235294,16,0.8757526,30,2893,38,1.25,0.447058824,85,2.79,2,18.27,0.6,Negative
(HOF),Germany,Bundesliga,Andrej Kramaric,2019,met expectation,0.52173913,0.279069767,12,1.286173633,14,1502,23,1.45,0.534883721,43,2.72,5,9.33,0.59,Positive
(DOR),Germany,Bundesliga,Marco Reus,2019,met expectation,0.458333333,0.234042553,11,1.288056206,18,1561,24,1.46,0.510638298,47,2.86,1,8.54,0.52,Positive
(CHE),Germany,Bundesliga,Kai Havertz,2019,met expectation,0.461538462,0.203389831,12,1.259181532,29,2586,26,0.96,0.440677966,59,2.17,1,9.53,0.35,Positive
(BMG),Germany,Bundesliga,Marcus Thuram,2019,Not met expectation,0.277777778,0.178571429,10,0.985221675,28,2296,36,1.49,0.642857143,56,2.32,3,10.15,0.42,Negative
(DUS),Germany,Bundesliga,Rouwen Hennings,2019,met expectation,0.555555556,0.205479452,15,1.374885426,27,2592,27,0.99,0.369863014,73,2.68,5,10.91,0.4,Positive
(BAY),Germany,Bundesliga,Robert Lewandowski,2019,met expectation,0.507462687,0.246376812,34,1.095008052,31,2783,67,2.29,0.485507246,138,4.71,0,31.05,1.06,Positive
(FRA),Germany,Bundesliga,Andre Silva,2019,met expectation,0.571428571,0.218181818,12,1.121495327,16,1694,21,1.18,0.381818182,55,3.08,9,10.7,0.6,Positive
(FCA),Germany,Bundesliga,Florian Niederlechner,2019,Not met expectation,0.325,0.166666667,13,0.986342944,31,2846,40,1.34,0.512820513,78,2.6,2,13.18,0.44,Negative
(DOR),Germany,Bundesliga,Erling Haaland,2019,met expectation,0.631578947,0.352941176,12,1.570680628,11,1116,19,1.62,0.558823529,34,2.89,4,7.64,0.65,Positive
(BSC),Germany,Bundesliga,Jhon Cordoba,2019,met expectation,0.52,0.213114754,13,1.463963964,23,2108,25,1.13,0.409836066,61,2.75,6,8.88,0.4,Positive
(MON),Germany,Bundesliga,Kevin Volland,2019,Not met expectation,0.3125,0.128205128,10,0.86281277,24,2159,32,1.41,0.41025641,78,3.43,3,11.59,0.51,Negative
(SCF),Germany,Bundesliga,Nils Petersen,2019,met expectation,0.578947368,0.2,11,1.298701299,24,2595,19,0.7,0.345454545,55,2.01,10,8.47,0.31,Positive
(BMG),Germany,Bundesliga,Lars Stindl,2019,met expectation,0.6,0.272727273,9,1.251738526,14,1518,15,0.94,0.454545455,33,2.07,11,7.19,0.45,Positive
(MAI),Germany,Bundesliga,Robin Quaison,2019,met expectation,0.464285714,0.183098592,13,1.081530782,31,2718,28,0.98,0.394366197,71,2.48,1,12.02,0.42,Positive
(BAY),Germany,Bundesliga,Serge Gnabry,2019,Not met expectation,0.3,0.126315789,12,0.902255639,26,2216,40,1.71,0.421052632,95,4.07,5,13.3,0.57,Negative
(KOL),Germany,Bundesliga,Sebastian Andersson,2019,Not met expectation,0.324324324,0.184615385,12,0.881057269,31,2813,37,1.25,0.569230769,65,2.2,2,13.62,0.46,Negative
(BMG),Germany,Bundesliga,Alassane Plea,2019,Not met expectation,0.285714286,0.12987013,10,0.860585198,25,2252,35,1.48,0.454545455,77,3.25,2,11.62,0.49,Negative
(PSG),France,France Ligue 7,Neymar,2019,Not met expectation,0.333333333,0.169014085,12,0.756143667,15,1396,36,2.45,0.507042254,71,4.83,0,15.87,1.08,Negative
(MAR),France,France Ligue 13,Dimitri Payet,2019,met expectation,0.346153846,0.142857143,9,1.538461538,22,2057,26,1.2,0.412698413,63,2.91,0,5.85,0.27,Positive
(PSG),France,France Ligue 6,Mauro Icardi,2019,Not met expectation,0.6,0.333333333,12,0.990916598,14,1353,20,1.4,0.555555556,36,2.53,6,12.11,0.85,Negative
(LYO),France,France Ligue 15,Memphis Depay,2019,met expectation,0.428571429,0.1875,9,1.986754967,12,1077,21,1.85,0.4375,48,4.23,1,4.53,0.4,Positive
(NIC),France,France Ligue 9,Kasper Dolberg,2019,met expectation,0.44,0.261904762,11,1.415701416,22,1994,25,1.19,0.595238095,42,2.0,1,7.77,0.37,Positive
(REN),France,France Ligue 11,M'Baye Niang,2019,met expectation,0.333333333,0.151515152,10,1.226993865,24,2276,30,1.25,0.454545455,66,2.75,2,8.15,0.34,Positive
(STR),France,France Ligue 20,Adrien Thomasson,2019,met expectation,0.388888889,0.14,7,1.333333333,24,2168,18,0.79,0.36,50,2.19,1,5.25,0.23,Positive
(MPE),France,France Ligue 12,Andy Delort,2019,Not met expectation,0.310344828,0.107142857,9,0.825688073,26,2409,29,1.14,0.345238095,84,3.31,0,10.9,0.43,Negative
(MAR),France,France Ligue 8,Dario Benedetto,2019,met expectation,0.407407407,0.180327869,11,1.241534989,25,2214,27,1.16,0.442622951,61,2.62,1,8.86,0.38,Positive
(MON),France,France Ligue 2,Wissam Ben Yedder,2019,met expectation,0.5,0.28125,18,1.38996139,25,2321,36,1.47,0.5625,64,2.62,1,12.95,0.53,Positive
(STR),France,France Ligue 19,Ludovic Ajorque,2019,met expectation,0.363636364,0.16,8,1.212121212,24,2163,22,0.97,0.44,50,2.2,2,6.6,0.29,Positive
(LEI),France,France Ligue 14,Islam Slimani,2019,met expectation,0.45,0.169811321,9,1.034482759,14,1378,20,1.38,0.377358491,53,3.65,4,8.7,0.6,Positive
(REN),France,France Ligue 17,Adrien Hunou,2019,met expectation,0.533333333,0.285714286,8,1.103448276,13,1325,15,1.08,0.535714286,28,2.01,10,7.25,0.52,Positive
(STE),France,France Ligue 10,Denis Bouanga,2019,met expectation,0.27027027,0.128205128,10,1.066098081,23,2173,37,1.62,0.474358974,78,3.41,3,9.38,0.41,Positive
(REN),France,France Ligue 16,Sehrou Guirassy,2019,met expectation,0.473684211,0.2,9,1.052631579,23,2030,19,0.89,0.422222222,45,2.11,0,8.55,0.4,Positive
(PSG),France,France Ligue 18,Ãngel Di Maria,2019,Not met expectation,0.333333333,0.108108108,8,0.801603206,23,2106,24,1.08,0.324324324,74,3.34,3,9.98,0.45,Negative
(LYO),France,France Ligue 3,Moussa Dembele,2019,met expectation,0.615384615,0.285714286,16,1.401050788,24,2358,26,1.05,0.464285714,56,2.26,3,11.42,0.46,Positive
(STR),France,France Ligue 5,Habib Diallo,2019,met expectation,0.352941176,0.144578313,12,1.314348302,26,2344,34,1.38,0.409638554,83,3.36,0,9.13,0.37,Positive
(PSG),France,France Ligue 1,Kylian Mbappe-Lottin,2019,met expectation,0.367346939,0.206896552,18,1.001112347,17,1611,49,2.89,0.563218391,87,5.13,3,17.98,1.06,Positive
(NAP),France,France Ligue 4,Victor Osimhen,2019,Not met expectation,0.371428571,0.151162791,13,0.874831763,25,2434,35,1.37,0.406976744,86,3.36,2,14.86,0.58,Negative
(EVE),England,Premier League,Dominic Calvert-Lewin,2019,Not met expectation,0.342105263,0.152941176,13,0.802964793,30,2849,38,1.27,0.447058824,85,2.83,6,16.19,0.54,Negative
(WOL),England,Premier League,Raul Jimenez,2019,Not met expectation,0.395348837,0.144067797,17,0.9194159,37,3445,43,1.19,0.36440678,118,3.25,1,18.49,0.51,Negative
(MNC),England,Premier League,Kevin De Bruyne,2019,met expectation,0.419354839,0.131313131,13,1.800554017,32,2984,31,0.99,0.313131313,99,3.15,3,7.22,0.23,Positive
(LEI),England,Premier League,Jamie Vardy,2019,met expectation,0.547619048,0.258426966,23,1.192946058,34,3271,42,1.22,0.471910112,89,2.58,1,19.28,0.56,Positive
(MNC),England,Premier League,Raheem Sterling,2019,Not met expectation,0.526315789,0.202020202,20,0.985221675,30,2836,38,1.27,0.383838384,99,3.32,3,20.3,0.68,Negative
(LIV),England,Premier League,Sadio Mane,2019,met expectation,0.5,0.233766234,18,1.240523777,31,2933,36,1.17,0.467532468,77,2.49,4,14.51,0.47,Positive
(BUR),England,Premier League,Chris Wood,2019,Not met expectation,0.482758621,0.215384615,14,0.820152314,29,2616,29,1.05,0.446153846,65,2.36,3,17.07,0.62,Negative
(MNU),England,Premier League,Anthony Martial,2019,met expectation,0.435897436,0.2125,17,1.448040886,31,2788,39,1.33,0.4875,80,2.73,1,11.74,0.4,Positive
(MNC),England,Premier League,Riyad Mahrez,2019,met expectation,0.35483871,0.148648649,11,1.443569554,21,2130,31,1.38,0.418918919,74,3.3,12,7.62,0.34,Positive
(TOT),England,Premier League,Son Heung-Min,2019,met expectation,0.289473684,0.135802469,11,1.189189189,28,2663,38,1.36,0.469135802,81,2.89,2,9.25,0.33,Positive
(MNU),England,Premier League,Marcus Rashford,2019,Not met expectation,0.386363636,0.178947368,17,0.852985449,31,2826,44,1.48,0.463157895,95,3.19,0,19.93,0.67,Negative
(LIV),England,Premier League,Mohamed Salah,2019,Not met expectation,0.322033898,0.143939394,19,0.926377377,33,3045,59,1.84,0.446969697,132,4.12,1,20.51,0.64,Negative
(MNC),England,Premier League,Gabriel Jesus,2019,Not met expectation,0.304347826,0.138613861,14,0.676655389,21,2209,46,1.98,0.455445545,101,4.34,13,20.69,0.89,Negative
(SOU),England,Premier League,Danny Ings,2019,met expectation,0.594594595,0.23655914,22,1.310303752,32,3009,37,1.17,0.397849462,93,2.94,6,16.79,0.53,Positive
(ARS),England,Premier League,Pierre-Emerick Aubameyang,2019,met expectation,0.523809524,0.23655914,22,1.369010579,35,3392,42,1.18,0.451612903,93,2.6,1,16.07,0.45,Positive
(TOT),England,Premier League,Harry Kane,2019,met expectation,0.486486486,0.222222222,18,1.387818042,29,2801,37,1.25,0.456790123,81,2.75,0,12.97,0.44,Positive
(EVE),England,Premier League,Richarlison,2019,met expectation,0.40625,0.144444444,13,1.211556384,36,3289,32,0.92,0.355555556,90,2.6,0,10.73,0.31,Positive
(NOR),England,Premier League,Teemu Pukki,2019,Not met expectation,0.314285714,0.1375,11,0.967458223,33,3087,35,1.08,0.4375,80,2.46,3,11.37,0.35,Negative
(CHE),England,Premier League,Tammy Abraham,2019,Not met expectation,0.428571429,0.170454545,15,0.777604977,25,2380,35,1.4,0.397727273,88,3.51,9,19.29,0.77,Negative
(MNC),England,Premier League,Sergio Aguero,2019,met expectation,0.592592593,0.210526316,16,1.032258065,18,1566,27,1.64,0.355263158,76,4.61,6,15.5,0.94,Positive
,Brazil,Campeonato Brasileiro SÃ©rie A,Dudu,2019,Not met expectation,0.236842105,0.094736842,9,0.955414013,34,3313,38,1.09,0.4,95,2.72,2,9.42,0.27,Negative
(INT),Brazil,Campeonato Brasileiro SÃ©rie A,Thiago Galhardo,2019,Not met expectation,0.375,0.15,12,0.836236934,31,2901,32,1.05,0.4,80,2.62,3,14.35,0.47,Negative
(INT),Brazil,Campeonato Brasileiro SÃ©rie A,Paolo Guerrero,2019,Not met expectation,0.303030303,0.12345679,10,0.921658986,23,2193,33,1.43,0.407407407,81,3.51,1,10.85,0.47,Negative
(GRE),Brazil,Campeonato Brasileiro SÃ©rie A,Pepe,2019,Not met expectation,0.5,0.173913043,8,0.91954023,14,1836,16,0.83,0.347826087,46,2.38,18,8.7,0.45,Negative
Bruno,Brazil,Campeonato Brasileiro SÃ©rie A,Henrique,2019,met expectation,0.454545455,0.172413793,10,2.012072435,33,3149,22,0.66,0.379310345,58,1.75,1,4.97,0.15,Positive
(FLA),Brazil,Campeonato Brasileiro SÃ©rie A,Giorgian de Arrascaeta,2019,met expectation,0.631578947,0.255319149,12,1.284796574,22,1929,19,0.94,0.404255319,47,2.31,1,9.34,0.46,Positive
(SAN),Brazil,Campeonato Brasileiro SÃ©rie A,Marinho,2019,met expectation,0.307692308,0.109589041,8,1.201201201,18,1917,26,1.29,0.356164384,73,3.62,11,6.66,0.33,Positive
(BEN),Brazil,Campeonato Brasileiro SÃ©rie A,Everton,2019,met expectation,0.34375,0.13253012,11,1.195652174,23,2498,32,1.22,0.385542169,83,3.16,7,9.2,0.35,Positive
(BAH),Brazil,Campeonato Brasileiro SÃ©rie A,Gilberto,2019,Not met expectation,0.451612903,0.175,14,0.878293601,27,2524,31,1.17,0.3875,80,3.01,5,15.94,0.6,Negative
(FLA),Brazil,Campeonato Brasileiro SÃ©rie A,Michael,2019,met expectation,0.3125,0.125,10,1.067235859,35,3180,32,0.96,0.4,80,2.39,0,9.37,0.28,Positive
(SAN),Brazil,Campeonato Brasileiro SÃ©rie A,Carlos Sanchez,2019,met expectation,0.413793103,0.141176471,12,1.000834028,27,2648,29,1.04,0.341176471,85,3.05,7,11.99,0.43,Positive
,Brazil,Campeonato Brasileiro SÃ©rie A,Everaldo,2019,met expectation,0.358974359,0.120689655,14,1.055011304,33,3233,39,1.15,0.336206897,116,3.41,0,13.27,0.39,Positive
(RBB),Brazil,Campeonato Brasileiro SÃ©rie A,Artur,2019,met expectation,0.368421053,0.109375,7,1.211072664,32,3049,19,0.59,0.296875,64,1.99,0,5.78,0.18,Positive
(FLA),Brazil,Campeonato Brasileiro SÃ©rie A,Gabriel Barbosa,2019,met expectation,0.403225806,0.213675214,25,1.016673444,29,2716,62,2.17,0.52991453,117,4.09,0,24.59,0.86,Positive
(FOR),Brazil,Campeonato Brasileiro SÃ©rie A,Wellington Paulista,2019,Not met expectation,0.448275862,0.196969697,13,0.950987564,28,2650,29,1.04,0.439393939,66,2.37,3,13.67,0.49,Negative
(FLA),Brazil,Campeonato Brasileiro SÃ©rie A,Bruno Henrique,2019,Not met expectation,0.456521739,0.214285714,21,0.995732575,29,2822,46,1.55,0.469387755,98,3.3,4,21.09,0.71,Negative
(chongqing dangdai lifan f.c),Brazil,Campeonato Brasileiro SÃ©rie A,Marcelo  Cirino,2019,Not met expectation,0.529411765,0.176470588,9,0.964630225,19,2062,17,0.78,0.333333333,51,2.35,10,9.33,0.43,Negative
(SAN),Brazil,Campeonato Brasileiro SÃ©rie A,Yeferson Soteldo,2019,met expectation,0.346153846,0.132352941,9,1.022727273,31,2883,26,0.86,0.382352941,68,2.24,1,8.8,0.29,Positive
(CAM),Brazil,Campeonato Brasileiro SÃ©rie A,Eduardo Sasha,2019,Not met expectation,0.388888889,0.181818182,14,0.995732575,34,3181,36,1.08,0.467532468,77,2.3,3,14.06,0.42,Negative
(GOI),Brazil,Campeonato Brasileiro SÃ©rie A,Rafael Moura,2019,met expectation,0.642857143,0.1875,9,1.094890511,19,1661,14,0.8,0.291666667,48,2.75,4,8.22,0.47,Positive
(AJA), Netherlands,Eredivisie,Antony None,2019,met expectation,0.5,0.2,4,2.45398773,8,575,8,1.32,0.4,20,3.3,1,1.63,0.27,Positive
(AJA), Netherlands,Eredivisie,Quincy Promes,2019,met expectation,0.4,0.181818182,4,1.379310345,4,574,10,1.66,0.454545455,22,3.64,6,2.9,0.48,Positive
(AJA), Netherlands,Eredivisie,Dusan Tadic,2019,met expectation,0.538461538,0.35,7,1.650943396,9,719,13,1.72,0.65,20,2.64,1,4.24,0.56,Positive
(VIT), Netherlands,Eredivisie,Armando Broja,2019,met expectation,0.833333333,0.416666667,5,1.984126984,6,569,6,1.0,0.5,12,2.0,4,2.52,0.42,Positive
(FEY), Netherlands,Eredivisie,Steven Berghuis,2019,met expectation,0.428571429,0.230769231,9,1.02622577,10,896,21,2.23,0.538461538,39,4.14,0,8.77,0.93,Positive
(EMM), Netherlands,Eredivisie,Michael de Leeuw,2019,met expectation,0.714285714,0.333333333,5,1.730103806,8,723,7,0.92,0.466666667,15,1.97,0,2.89,0.38,Positive
(VIT), Netherlands,Eredivisie,Lois Openda,2019,met expectation,0.555555556,0.178571429,5,1.700680272,10,775,9,1.1,0.321428571,28,3.43,0,2.94,0.36,Positive
(TWE), Netherlands,Eredivisie,Danilo Nome,2019,met expectation,0.5625,0.290322581,9,1.276595745,10,827,16,1.84,0.516129032,31,3.56,0,7.05,0.81,Positive
(SPR), Netherlands,Eredivisie,Lennart Thy,2019,met expectation,0.545454545,0.3,6,1.372997712,10,768,11,1.36,0.55,20,2.47,0,4.37,0.54,Positive
(PSV), Netherlands,Eredivisie,Donyell Malen,2019,Not met expectation,0.352941176,0.1875,6,0.981996727,7,725,17,2.23,0.53125,32,4.19,3,6.11,0.8,Negative
(PSV), Netherlands,Eredivisie,Noni Madueke,2019,met expectation,0.571428571,0.235294118,4,1.393728223,3,524,7,1.27,0.411764706,17,3.08,7,2.87,0.52,Positive
(AJA), Netherlands,Eredivisie,Davy Klaassen,2019,met expectation,0.625,0.384615385,5,1.243781095,6,490,8,1.55,0.615384615,13,2.52,0,4.02,0.78,Positive
(VIT), Netherlands,Eredivisie,Oussama Tannane,2019,met expectation,0.444444444,0.1,4,1.509433962,8,680,9,1.26,0.225,40,5.59,0,2.65,0.37,Positive
(TWE), Netherlands,Eredivisie,Vaclav Cerny,2019,met expectation,0.333333333,0.19047619,4,2.877697842,10,824,12,1.38,0.571428571,21,2.42,0,1.39,0.16,Positive
(WIL), Netherlands,Eredivisie,Vangelis Pavlidis,2019,met expectation,0.266666667,0.153846154,4,1.413427562,10,927,15,1.54,0.576923077,26,2.66,0,2.83,0.29,Positive
(HEE), Netherlands,Eredivisie,Henk Veerman,2019,met expectation,0.571428571,0.25,8,1.801801802,10,916,14,1.45,0.4375,32,3.32,0,4.44,0.46,Positive
(SPR), Netherlands,Eredivisie,Abdou Harroui,2019,met expectation,0.307692308,0.166666667,4,2.07253886,10,834,13,1.48,0.541666667,24,2.73,0,1.93,0.22,Positive
(HER), Netherlands,Eredivisie,Rai Vloet,2019,met expectation,0.777777778,0.333333333,7,1.559020045,10,853,9,1.0,0.428571429,21,2.34,0,4.49,0.5,Positive
(AJA), Netherlands,Eredivisie,Lassina Traore,2019,met expectation,0.875,0.388888889,7,1.662707838,6,506,8,1.5,0.444444444,18,3.38,4,4.21,0.79,Positive
(VVV), Netherlands,Eredivisie,Georgios Giakoumakis,2019,met expectation,0.642857143,0.257142857,9,1.251738526,10,911,14,1.46,0.4,35,3.65,0,7.19,0.75,Positive
(TOR),USA,MLS,Alex Pozuelo,2020,met expectation,0.36,0.157894737,9,1.086956522,24,2247,25,1.06,0.438596491,57,2.41,0,8.28,0.35,Positive
(MIN),USA,MLS,Kevin Molino,2020,met expectation,0.55,0.255813953,11,1.740506329,16,1430,20,1.33,0.465116279,43,2.86,3,6.32,0.42,Positive
(RSL),USA,MLS,Damir Kreilach,2020,met expectation,0.421052632,0.166666667,8,1.309328969,20,1872,19,0.96,0.395833333,48,2.44,1,6.11,0.31,Positive
(LAF),USA,MLS,Bradley Wright-Phillips,2020,met expectation,0.533333333,0.242424242,8,1.358234295,15,1190,15,1.2,0.454545455,33,2.63,4,5.89,0.47,Positive
(LAF),USA,MLS,Diego Rossi,2020,met expectation,0.411764706,0.197183099,14,1.181434599,19,1816,34,1.78,0.478873239,71,3.71,0,11.85,0.62,Positive
(SOU),USA,MLS,Nicolas Lodeiro,2020,met expectation,0.421052632,0.186046512,8,1.257861635,21,2014,19,0.9,0.441860465,43,2.03,0,6.36,0.3,Positive
(SOU),USA,MLS,Raul Ruidiaz,2020,met expectation,0.583333333,0.24137931,14,1.635514019,18,1626,24,1.4,0.413793103,58,3.39,0,8.56,0.5,Positive
(ORL),USA,MLS,Daryl Dike,2020,met expectation,0.615384615,0.242424242,8,2.139037433,17,1482,13,0.83,0.393939394,33,2.12,2,3.74,0.24,Positive
(CCR),USA,MLS,Gyasi Zardes,2020,met expectation,0.56,0.28,14,1.1676397,22,2034,25,1.17,0.5,50,2.34,1,11.99,0.56,Positive
(LAG),USA,MLS,Cristian Pavon,2020,met expectation,0.4,0.158730159,10,1.669449082,22,2106,25,1.13,0.396825397,63,2.84,0,5.99,0.27,Positive
(ORL),USA,MLS,Chris Mueller,2020,met expectation,0.5,0.263157895,10,1.666666667,19,1726,20,1.1,0.526315789,38,2.09,5,6.0,0.33,Positive
(MON),USA,MLS,Romell Quioto,2020,met expectation,0.391304348,0.166666667,9,1.546391753,18,1676,23,1.3,0.425925926,54,3.06,2,5.82,0.33,Positive
(SOU),USA,MLS,Jordan Morris,2020,met expectation,0.578947368,0.255813953,11,1.322115385,19,1927,19,0.94,0.441860465,43,2.12,4,8.32,0.41,Positive
(PHI),USA,MLS,Kacper Przybylko,2020,Not met expectation,0.296296296,0.142857143,8,0.926998841,24,2216,27,1.16,0.482142857,56,2.4,0,8.63,0.37,Negative
(NER),USA,MLS,Gustavo Bou,2020,met expectation,0.285714286,0.098765432,8,1.176470588,17,1701,28,1.56,0.345679012,81,4.52,4,6.8,0.38,Positive
(CHF),USA,MLS,Robert Beric,2020,met expectation,0.464285714,0.209677419,13,1.301301301,22,2063,28,1.29,0.451612903,62,2.86,1,9.99,0.46,Positive
(TOR),USA,MLS,Ayo Akinola,2020,met expectation,0.473684211,0.243243243,9,1.232876712,11,1195,19,1.51,0.513513514,37,2.94,5,7.3,0.58,Positive
(POR),USA,MLS,Jeremy Ebobisse,2020,met expectation,0.533333333,0.242424242,8,2.203856749,11,1189,15,1.2,0.454545455,33,2.64,8,3.63,0.29,Positive
(POR),USA,MLS,Diego Valeri,2020,met expectation,0.470588235,0.181818182,8,1.509433962,19,1864,17,0.87,0.386363636,44,2.24,4,5.3,0.27,Positive
(SJE),USA,MLS,Chris Wondolowski,2020,met expectation,0.4,0.228571429,8,1.094391245,14,1509,20,1.26,0.571428571,35,2.2,9,7.31,0.46,Positive
(SEV),Spain,La Liga,Youssef   En-Nesyri,2020,met expectation,1.0,0.285714286,4,1.201201201,5,465,4,0.82,0.285714286,14,2.86,4,3.33,0.68,Positive
(SOC),Spain,La Liga,Portu,2020,met expectation,1.0,0.666666667,4,2.614379085,6,691,4,0.55,0.666666667,6,0.82,5,1.53,0.21,Positive
(RMA),Spain,La Liga,Karim Benzema,2020,Not met expectation,0.333333333,0.148148148,4,0.814663951,8,741,12,1.54,0.444444444,27,3.46,0,4.91,0.63,Negative
(VAL),Spain,La Liga,Carlos Soler,2020,met expectation,0.8,0.5,4,1.19760479,6,599,5,0.79,0.625,8,1.27,1,3.34,0.53,Positive
(BET),Spain,La Liga,Cristian Tello,2020,met expectation,0.5,0.181818182,4,2.083333333,7,629,8,1.21,0.363636364,22,3.32,4,1.92,0.29,Positive
(SOC),Spain,La Liga,Mikel Oyarzabal,2020,met expectation,0.4375,0.225806452,7,1.026392962,9,736,16,2.07,0.516129032,31,4.0,2,6.82,0.88,Positive
(EIB),Spain,La Liga,Esteban Burgos,2020,met expectation,0.75,0.6,3,1.052631579,6,589,4,0.65,0.8,5,0.81,1,2.85,0.46,Positive
(ALA),Spain,La Liga,Lucas Perez,2020,Not met expectation,0.5,0.230769231,3,0.688073394,7,637,6,0.89,0.461538462,13,1.94,2,4.36,0.65,Negative
(BAR),Spain,La Liga,Lionel Messi,2020,Not met expectation,0.210526316,0.102564103,4,0.732600733,8,824,19,2.19,0.487179487,39,4.5,1,5.46,0.63,Negative
(ATL),Spain,La Liga,Joao Felix,2020,met expectation,0.833333333,0.238095238,5,1.298701299,6,641,6,0.89,0.285714286,21,3.11,3,3.85,0.57,Positive
(ATL),Spain,La Liga,Luis Suarez,2020,met expectation,0.625,0.227272727,5,1.515151515,5,387,8,1.96,0.363636364,22,5.4,1,3.3,0.81,Positive
(VIL),Spain,La Liga,Paco Alcacer,2020,Not met expectation,0.625,0.3125,5,0.978473581,9,693,8,1.1,0.5,16,2.19,0,5.11,0.7,Negative
(LEV),Spain,La Liga,Morales,2020,met expectation,0.5,0.235294118,4,1.47601476,10,758,8,1.0,0.470588235,17,2.13,0,2.71,0.34,Positive
(RMA),Spain,La Liga,Federico Valverde,2020,met expectation,0.6,0.333333333,3,2.654867257,6,566,5,0.84,0.555555556,9,1.51,2,1.13,0.19,Positive
(BAR),Spain,La Liga,Antoine Griezmann,2020,Not met expectation,0.375,0.166666667,3,0.817438692,8,634,8,1.2,0.444444444,18,2.7,1,3.67,0.55,Negative
(CEL),Spain,La Liga,Iago Aspas,2020,met expectation,0.416666667,0.238095238,5,1.022494888,11,1056,12,1.08,0.571428571,21,1.89,0,4.89,0.44,Positive
(EIB),Spain,La Liga,Kike GarcIa,2020,met expectation,0.375,0.157894737,3,1.060070671,9,790,8,0.96,0.421052632,19,2.28,1,2.83,0.34,Positive
(GET),Spain,La Liga,Angel Rodriguez,2020,met expectation,0.571428571,0.285714286,4,1.941747573,3,501,7,1.33,0.5,14,2.65,6,2.06,0.39,Positive
(BAR),Spain,La Liga,Ansu Fati,2020,met expectation,0.571428571,0.285714286,4,2.222222222,6,451,7,1.47,0.5,14,2.95,1,1.8,0.38,Positive
(VIL),Spain,La Liga,Gerard Moreno,2020,Not met expectation,0.545454545,0.206896552,6,0.9375,9,822,11,1.27,0.379310345,29,3.35,0,6.4,0.74,Negative
(BOL),Italy,Serie A,Roberto Soriano,2020,met expectation,0.714285714,0.277777778,5,2.074688797,9,849,7,0.78,0.388888889,18,2.01,0,2.41,0.27,Positive
(SAS),Italy,Serie A,Francesco Caputo,2020,met expectation,0.555555556,0.277777778,5,1.420454545,6,567,9,1.51,0.5,18,3.02,0,3.52,0.59,Positive
(CAG),Italy,Serie A,Joao Pedro,2020,met expectation,0.6,0.285714286,6,1.759530792,9,831,10,1.14,0.476190476,21,2.4,0,3.41,0.39,Positive
(ATA),Italy,Serie A,Alejandro Gomez,2020,met expectation,0.363636364,0.142857143,4,1.793721973,9,643,11,1.63,0.392857143,28,4.14,0,2.23,0.33,Positive
(TOR),Italy,Serie A,Andrea Belotti,2020,met expectation,0.636363636,0.291666667,7,2.005730659,8,754,11,1.39,0.458333333,24,3.02,0,3.49,0.44,Positive
